,Id,Price,Bedrooms,Living_Area,Is_Equiped_Kitchen,Terrace,Garden,State,Facades,Locality_encoded,Type_encoded,SubType_encoded,Prov_encoded,Region_encoded,Is_On_Coast,GDP,Avg_rent,Avg price,Bedrooms_per_area
138,20314822,495000,4,192,1,1,1,1,4,246,1,1,1,1,0,36940,759.0,1618,0.020833333333333332
139,20314821,559000,4,157,1,1,0,3,3,156,1,0,2,0,0,51731,1013.0,2841,0.025477707006369428
140,20314820,599000,4,202,0,1,1,5,2,682,1,0,2,0,0,51731,1013.0,2841,0.019801980198019802
141,20314819,769000,3,142,1,0,0,5,2,32,1,2,6,2,0,90459,1205.0,3323,0.02112676056338028
142,20314818,120000,2,105,0,0,1,4,3,85,1,0,10,1,0,34715,759.0,1949,0.01904761904761905
143,20314816,365000,3,110,1,1,0,1,2,743,0,3,6,2,0,90459,1205.0,3323,0.02727272727272727
144,20314699,335310,2,113,0,1,0,2,0,471,0,3,3,0,0,98189,1000.0,2577,0.017699115044247787
145,20314698,349065,2,117,0,1,0,2,0,471,0,3,3,0,0,98189,1000.0,2577,0.017094017094017096
146,20314697,499630,3,93,0,1,0,2,0,471,0,3,3,0,0,98189,1000.0,2577,0.03225806451612903
147,20314696,301160,1,93,0,1,0,2,0,471,0,3,3,0,0,98189,1000.0,2577,0.010752688172043012
148,20314674,250000,3,129,1,0,0,1,0,232,1,0,5,0,0,52323,950.0,2888,0.023255813953488372
149,20314629,380000,2,99,1,1,0,1,0,16,0,3,0,0,0,62123,950.0,2546,0.020202020202020204
150,20314627,400000,3,111,1,1,0,1,0,16,0,3,0,0,0,62123,950.0,2546,0.02702702702702703
151,20314624,370000,2,100,1,1,0,1,0,16,0,3,0,0,0,62123,950.0,2546,0.02
152,20314623,390000,2,96,1,1,0,1,0,16,0,3,0,0,0,62123,950.0,2546,0.020833333333333332
153,20314622,355000,2,91,1,1,0,1,0,16,0,3,0,0,0,62123,950.0,2546,0.02197802197802198
154,20314620,365000,3,101,1,1,0,1,0,16,0,3,0,0,0,62123,950.0,2546,0.0297029702970297
155,20314618,355000,3,101,1,1,0,1,0,16,0,3,0,0,0,62123,950.0,2546,0.0297029702970297
156,20314560,345000,2,90,0,1,0,2,0,32,0,3,6,2,0,90459,1205.0,3323,0.022222222222222223
157,20314504,299000,2,93,1,1,0,2,3,466,0,3,3,0,0,98189,1000.0,2577,0.021505376344086023
158,20314476,189000,5,199,1,0,0,1,4,190,1,0,5,0,0,52323,950.0,2888,0.02512562814070352
159,20314473,230000,2,86,1,0,0,1,2,477,1,2,10,1,0,34715,759.0,1949,0.023255813953488372
160,20314472,317000,3,88,0,1,0,3,4,551,0,3,10,1,0,34715,759.0,1949,0.03409090909090909
161,20314470,329000,2,91,0,0,0,2,2,62,0,7,5,0,0,52323,950.0,2888,0.02197802197802198
162,20314469,329000,2,91,0,0,0,2,2,62,0,7,5,0,0,52323,950.0,2888,0.02197802197802198
163,20314467,245000,2,94,1,1,0,1,2,306,0,3,3,0,0,98189,1000.0,2577,0.02127659574468085
164,20314465,214000,2,70,1,0,0,1,0,203,0,3,3,0,0,98189,1000.0,2577,0.02857142857142857
165,20314462,399000,3,133,1,0,0,2,3,20,1,0,8,1,0,14697,759.0,2084,0.022556390977443608
166,20314461,360000,3,178,1,0,0,2,0,20,1,0,8,1,0,14697,759.0,2084,0.016853932584269662
167,20314460,354000,4,167,1,0,0,2,0,20,1,0,8,1,0,14697,759.0,2084,0.023952095808383235
168,20314442,465000,2,121,1,1,0,5,4,724,1,0,3,0,0,98189,1000.0,2577,0.01652892561983471
169,20314428,430000,4,227,0,1,0,5,4,588,1,0,5,0,0,52323,950.0,2888,0.01762114537444934
170,20314422,875000,8,298,0,0,0,2,2,400,0,10,0,0,0,62123,950.0,2546,0.026845637583892617
171,20314419,255000,1,55,0,0,0,1,2,44,0,3,3,0,0,98189,1000.0,2577,0.01818181818181818
172,20314418,219000,2,90,0,1,0,2,0,44,0,3,3,0,0,98189,1000.0,2577,0.022222222222222223
173,20314416,387000,2,99,0,0,0,4,4,218,1,0,5,0,0,52323,950.0,2888,0.020202020202020204
174,20314415,439000,3,132,1,1,0,1,4,14,0,3,5,0,0,52323,950.0,2888,0.022727272727272728
175,20314409,95000,2,51,0,1,0,2,4,421,1,0,1,1,0,36940,759.0,1618,0.0392156862745098
176,20314407,495000,3,120,0,0,0,3,3,107,1,0,0,0,0,62123,950.0,2546,0.025
177,20314406,349000,3,309,0,0,1,3,3,2,1,0,4,0,0,31766,,2193,0.009708737864077669
178,20314400,339000,0,123,0,0,0,4,0,232,0,10,5,0,0,52323,950.0,2888,0.0
179,20314399,339000,2,123,0,1,0,4,4,232,1,0,5,0,0,52323,950.0,2888,0.016260162601626018
180,20314398,190000,2,86,0,0,0,5,3,791,0,3,3,0,0,98189,1000.0,2577,0.023255813953488372
181,20314394,185000,3,200,0,1,0,4,3,212,1,0,1,1,0,36940,759.0,1618,0.015
182,20314390,399000,0,40,0,0,0,1,0,535,0,3,5,0,0,52323,950.0,2888,0.0
183,20314389,895000,2,131,0,0,0,1,0,535,0,6,5,0,0,52323,950.0,2888,0.015267175572519083
184,20314388,395000,3,148,1,1,0,2,3,319,1,0,8,1,0,14697,759.0,2084,0.02027027027027027
185,20314387,250000,3,170,0,1,0,3,3,717,1,11,1,1,0,36940,759.0,1618,0.01764705882352941
186,20314384,249000,3,161,0,1,0,1,0,178,1,0,3,0,0,98189,1000.0,2577,0.018633540372670808
187,20314382,355000,2,91,1,1,0,1,0,16,0,3,0,0,0,62123,950.0,2546,0.02197802197802198
188,20314380,249000,5,162,0,1,0,1,0,178,1,0,3,0,0,98189,1000.0,2577,0.030864197530864196
189,20314379,219000,2,85,1,1,0,6,0,44,0,3,3,0,0,98189,1000.0,2577,0.023529411764705882
190,20314375,235000,1,57,1,1,0,1,0,400,0,3,0,0,0,62123,950.0,2546,0.017543859649122806
191,20314374,379000,3,150,0,1,0,1,3,759,1,0,3,0,0,98189,1000.0,2577,0.02
192,20314373,439000,4,239,1,1,0,6,0,650,1,0,5,0,1,52323,950.0,2888,0.016736401673640166
193,20314371,879500,4,407,1,1,0,2,4,651,1,0,2,0,0,51731,1013.0,2841,0.009828009828009828
194,20314369,274900,2,87,1,1,0,2,0,2,0,3,4,0,0,31766,,2193,0.022988505747126436
195,20314366,80000,2,90,1,0,0,5,2,420,1,0,1,1,0,36940,759.0,1618,0.022222222222222223
196,20314360,390000,2,96,1,1,0,1,0,16,0,3,0,0,0,62123,950.0,2546,0.020833333333333332
197,20314357,160000,4,171,1,0,1,1,3,493,1,0,1,1,0,36940,759.0,1618,0.023391812865497075
198,20314291,355000,3,101,1,1,0,1,0,16,0,3,0,0,0,62123,950.0,2546,0.0297029702970297
199,20314290,365000,3,101,1,1,0,1,0,16,0,3,0,0,0,62123,950.0,2546,0.0297029702970297
200,20314284,400000,3,111,1,1,0,1,0,400,0,3,0,0,0,62123,950.0,2546,0.02702702702702703
201,20314270,300000,4,307,1,0,1,4,2,604,1,0,0,0,0,62123,950.0,2546,0.013029315960912053
202,20314220,89000,1,32,0,0,0,3,0,291,0,3,5,0,1,52323,950.0,2888,0.03125
203,20314115,169900,1,75,0,0,0,3,0,728,0,3,5,0,0,52323,950.0,2888,0.013333333333333334
204,20314064,370000,2,100,1,1,0,1,0,16,0,3,0,0,0,62123,950.0,2546,0.02
205,20314063,87000,1,32,0,0,0,3,0,291,0,7,5,0,1,52323,950.0,2888,0.03125
206,20313980,269000,3,133,0,0,0,1,0,649,1,0,0,0,0,62123,950.0,2546,0.022556390977443608
207,20313972,349000,3,231,0,0,0,2,3,294,1,0,5,0,0,52323,950.0,2888,0.012987012987012988
208,20313971,259000,3,146,0,0,0,2,2,544,1,0,5,0,0,52323,950.0,2888,0.02054794520547945
209,20313968,415000,2,72,0,1,0,1,0,291,0,7,5,0,1,52323,950.0,2888,0.027777777777777776
