,Id,Price,Bedrooms,Living_Area,Is_Equiped_Kitchen,Terrace,Garden,State,Facades,Locality_encoded,Type_encoded,SubType_encoded,Prov_encoded,Region_encoded
350,20312838,585000,3,163,1,0,1,3,3,791,1,0,3,0
351,20312837,288000,4,190,0,1,0,4,0,44,1,0,3,0
352,20312833,745000,4,260,0,0,1,3,3,609,1,0,3,0
353,20312832,495000,3,202,1,1,1,3,3,609,1,0,3,0
354,20312829,495000,3,202,1,1,1,6,3,609,1,0,3,0
355,20312828,745000,4,260,0,0,1,3,3,609,1,0,3,0
356,20312815,290000,3,132,0,1,0,4,0,739,1,0,3,0
357,20312814,85000,1,71,1,0,0,5,2,425,0,3,10,1
358,20312812,99000,1,73,0,0,0,5,2,425,0,3,10,1
359,20312811,109000,2,86,0,1,0,5,2,425,0,3,10,1
360,20312810,119000,2,109,1,1,0,5,2,425,0,3,10,1
361,20312804,140000,2,102,1,1,0,1,0,160,0,3,10,1
362,20312802,299000,3,295,1,1,0,4,3,773,1,0,3,0
363,20312801,269000,3,132,1,0,0,1,0,663,0,3,5,0
364,20312799,425000,3,145,1,1,0,3,0,368,0,3,6,2
365,20312798,338000,2,70,0,0,0,6,0,400,0,3,0,0
366,20312797,975000,3,230,0,1,0,1,4,346,0,8,6,2
367,20312792,305000,3,165,1,1,0,2,0,592,0,3,1,1
368,20312789,349000,3,165,1,0,0,1,2,200,1,0,3,0
369,20312787,320000,2,78,0,0,0,1,2,232,1,0,5,0
370,20312786,319000,4,145,1,0,0,1,3,631,0,6,10,1
371,20312785,542000,3,123,0,1,0,1,0,727,0,3,0,0
372,20312784,435500,2,97,0,1,0,1,0,727,0,3,0,0
373,20312783,383000,1,88,0,1,0,1,0,727,0,3,0,0
374,20312780,245000,2,80,1,0,0,1,2,682,0,3,2,0
375,20312778,299000,3,130,0,1,0,1,2,396,1,0,5,0
376,20312775,229000,3,93,1,1,0,1,3,631,0,3,10,1
377,20312773,390000,3,200,1,0,0,1,3,306,1,0,3,0
378,20312769,725000,6,258,0,1,1,3,2,650,1,0,5,0
379,20312766,349000,3,185,0,1,1,3,4,733,1,0,0,0
380,20312765,580000,5,347,1,0,1,1,2,54,1,0,7,1
381,20312764,850000,4,290,1,1,1,1,4,69,1,0,7,1
382,20312763,285000,3,170,1,0,0,4,4,54,1,0,7,1
383,20312762,199000,3,213,1,0,0,4,2,490,1,0,7,1
